entity_name,acquisition_type,earlies_accquisition_date,latest_acquisition_date,announcement_date,announcement_link,est_amount_btc,est_cost_usd,est_cost_usd_per_btc,figures_verified
MicroStrategy Inc.,Purchase,,2020-08-11,2020-08-11,https://www.microstrategy.com/content/dam/website-assets/collateral/financial-documents/press-release-archive/MicroStrategy%20Adopts%20Bitcoin%20as%20Primary%20Treasury%20Reserve%20Asset.pdf,21545,250000000,,
MicroStrategy Inc.,Purchase,,2020-09-14,2020-09-15,https://twitter.com/michael_saylor/status/1305850568531947520,16796,175000000,,
MicroStrategy Inc.,Purchase,,2020-12-04,2020-12-04,https://twitter.com/michael_saylor/status/1334990791496884224,2574,50000000,,
MicroStrategy Inc.,Purchase,,2020-12-21,2020-12-21,https://twitter.com/michael_saylor/status/1341006691408752640,29646,650000000,,
MicroStrategy Inc.,Purchase,,2021-02-01,2021-02-02,https://twitter.com/michael_saylor/status/1356600103193182210,295,10000000,,
MicroStrategy Inc.,Purchase,,2021-02-24,2021-02-24,https://www.microstrategy.com/content/dam/website-assets/collateral/financial-documents/press-release-archive/microstrategy-acquires-additional-19452-bitcoins-for-1-026-billion_02-24-2021.pdf,19452,1026000000,,
MicroStrategy Inc.,Purchase,,2021-03-01,2021-03-01,https://twitter.com/michael_saylor/status/1366375915559792640,328,15000000,,
Telsa Inc.,Purchase,,2021-02-07,2021-02-08,https://www.cnbc.com/2021/02/08/tesla-buys-1point5-billion-in-bitcoin.html,48000,1500000000,31250,FALSE
Square Inc.,Purchase,,2020-10-07,2020-10-08,https://images.ctfassets.net/2d5q1td6cyxq/5sXNrlEh2mEnTvvhgtYOm2/737bcfdc15e2a1c3cbd9b9451710ce54/Square_Inc._Bitcoin_Investment_Whitepaper.pdf,4709,50000000,,TRUE
Square Inc.,Purchase,,2021-02-23,2021-02-23,https://www.coindesk.com/square-announces-additional-170m-bitcoin-buy,3318,170000000,,
Marathon Digital Holdings,Purchase,,2021-01-24,2021-01-25,https://www.globenewswire.com/news-release/2021/01/25/2163436/0/en/Marathon-Invests-150-Million-in-Bitcoin.html,4812.66,150000000,,
Marathon Digital Holdings,Mining,2021-01-01,2021-01-31,2021-04-05,"https://www.globenewswire.com/news-release/2021/04/05/2204284/0/en/Marathon-Digital-Holdings-Announces-Bitcoin-Production-and-Mining-Operation-Updates-for-the-First-Quarter-of-2021.html#:~:text=As%20a%20result%2C%20Marathon%20currently,price%20of%20%2431%2C168%20per%20BTC.",50.4,0,,
Marathon Digital Holdings,Mining,2021-02-01,2021-02-28,2021-04-05,"https://www.globenewswire.com/news-release/2021/04/05/2204284/0/en/Marathon-Digital-Holdings-Announces-Bitcoin-Production-and-Mining-Operation-Updates-for-the-First-Quarter-of-2021.html#:~:text=As%20a%20result%2C%20Marathon%20currently,price%20of%20%2431%2C168%20per%20BTC.",43.4,0,,
Marathon Digital Holdings,Mining,2021-03-01,2021-03-31,2021-04-05,"https://www.globenewswire.com/news-release/2021/04/05/2204284/0/en/Marathon-Digital-Holdings-Announces-Bitcoin-Production-and-Mining-Operation-Updates-for-the-First-Quarter-of-2021.html#:~:text=As%20a%20result%2C%20Marathon%20currently,price%20of%20%2431%2C168%20per%20BTC.",102.3,0,,